id,content,philosopher,RFSH_tid,RFSH_status,RFSH_good,RFSH_bad,RFSH_test_good,RFSH_test_bad
3,"All mankind... being all equal and independent, no one ought to harm another in his life, health, liberty or possessions",John Locke,2,good,"No. 3 ""All mankind... being all equal and independent, no one ought to harm another in his life, health, liberty or possessions"" - John Locke",,,
4,"History repeats itself, first as tragedy, second as farce",Karl Marx,3,good,"No. 4 ""History repeats itself, first as tragedy, second as farce"" - Karl Marx",,,
1,It does not matter how slowly you go as long as you do not stop,Confucius,0,good,"No. 1 ""It does not matter how slowly you go as long as you do not stop"" - Confucius",,,
2,"Quality is not an act, it is a habit",Aristotle,1,good,"No. 2 ""Quality is not an act, it is a habit"" - Aristotle",,,
5,"The whole problem with the world is that fools and fanatics are always so certain of themselves, and wiser people so full of doubts",Bertrand Russell,4,good,"No. 5 ""The whole problem with the world is that fools and fanatics are always so certain of themselves, and wiser people so full of doubts"" - Bertrand Russell",,,
6,"If you are lonely when you're alone, you are in bad company",Jean-Paul Sartre,5,good,"No. 6 ""If you are lonely when you're alone, you are in bad company"" - Jean-Paul Sartre",,,
8,There is no greater tyranny than that which is perpetrated under the shield of the law and in the name of justice,Montesquieu,7,good,"No. 8 ""There is no greater tyranny than that which is perpetrated under the shield of the law and in the name of justice"" - Montesquieu",,,
7,All men's miseries derive from not being able to sit in a quiet room alone,Blaise Pascal,6,good,"No. 7 ""All men's miseries derive from not being able to sit in a quiet room alone"" - Blaise Pascal",,,
9,Beauty in things exists in the mind which contemplates them,David Hume,8,good,"No. 9 ""Beauty in things exists in the mind which contemplates them"" - David Hume",,,
10,"Let come what comes, let go what goes. See what remains",Ramana Maharshi,9,good,"No. 10 ""Let come what comes, let go what goes. See what remains"" - Ramana Maharshi",,,
